Turma Teoria,Turma Prática,Matrícula,Hora de Entrega,Nota,86,87,88,89,169,170,171,172
1,1,562A867F,10:49,"8,9","8,5","9,0","8,5","9,5",,,,
1,1,258DFC4B,12:20,"6,3","9,0","5,5","8,2","2,5",,,,
1,1,1397BFB0,12:05,"9,1","9,0","9,0","9,0","9,5",,,,
1,1,13085463,11:50,"6,9","0,0","9,0","9,0","9,5",,,,
1,1,22EB47AA,11:14,"5,3","9,0","3,5","8,5","0,0",,,,
1,1,5EA91E42,12:50,"6,7","8,8","3,5","9,5","5,0",,,,
1,1,673B031F,12:34,"3,8","1,0","3,5","9,0","1,5",,,,
1,1,5978A120,11:04,"9,8","10,0","9,5","10,0","9,5",,,,
1,1,67657F86,12:37,"6,9","3,0","9,5","10,0","5,0",,,,
1,1,240164B6,12:30,#VALUE!,"0,0",,"7,5","1,0",,,,
1,1,189E4323,11:33,"0,5","1,0","1,0","0,0","0,0",,,,
1,1,2B989949,11:31,"1,0","0,0","4,0","0,0","0,0",,,,
1,1,63116A24,11:32,"4,8","3,0","9,0","2,0","5,0",,,,
1,1,28E49A9D,11:45,#VALUE!,"0,5",,"8,0","0,5",,,,
1,1,1DF2A12E,10:48,"7,7","8,8","8,5","9,0","4,5",,,,
1,1,25762941,11:12,"6,1","5,0","9,5","5,0","5,0",,,,
1,1,19449717,11:15,#VALUE!,"1,0","0,0",,"0,0",,,,
1,1,1B81A33E,12:33,"8,1","9,0","9,5","9,5","4,5",,,,
1,1,6878BF80,11:48,"6,0","6,0","8,0","6,0","4,0",,,,
1,1,6A197CF,12:12,"3,3","0,0","8,0","5,0","0,0",,,,
1,1,71F3C736,11:13,"7,0","5,5","8,5","9,0","5,0",,,,
1,1,14A1B78B,11:46,"4,3","5,0","4,0","8,0","0,0",,,,
1,1,13AB68B3,X,,,,,,,,,
1,3,79CBE190,11:50,"5,8","1,0","4,0","9,0","9,0",,,,
1,3,3A1B84F4,11:41,"3,4","0,5","4,0","9,0","0,0",,,,
1,3,267C1E34,12:50,"7,6","10,0","8,0","3,0","9,5",,,,
1,3,77A35CA,10:59,"9,8","10,0","9,5","10,0","9,5",,,,
1,3,46484C5E,12:50,"3,3","1,0","2,0","8,0","2,0",,,,
1,3,210B0D56,11:13,"5,3","5,5","2,0","9,0","4,5",,,,
1,3,3826E0DE,12:27,#VALUE!,"0,5",,,"2,0",,,,
1,3,4482494C,10:53,"9,1","9,8","9,0","8,7","9,0",,,,
1,3,281286BC,11:50,"8,8","8,8","8,5","8,5","9,5",,,,
1,3,44AF14C1,11:50,"4,1","1,0","9,5","4,5","1,5",,,,
1,3,B5D2F64,11:10,#VALUE!,"0,0","9,5",,"0,5",,,,
1,3,7ED68BE0,X,,,,,,,,,
1,3,269E83C8,,,,,,,,,,
1,3,7BF33A4A,11:02,#VALUE!,"1,0",,,"0,5",,,,
1,3,4AD45AC5,10:48,"9,5","10,0","9,5","9,0","9,5",,,,
1,3,2561F105,X,#VALUE!,,,,,,,,
1,3,6C643AAF,11:50,"3,0","0,0","3,0","7,5","1,5",,,,
1,3,492E11B4,10:48,"2,6","0,0","3,0","7,0","0,5",,,,
1,3,390C0CCC,10:55,"7,0","4,0","9,5","9,5","5,0",,,,
1,3,64B26A18,11:50,#VALUE!,"0,0",,,"1,0",,,,
1,3,4D98EE47,10:48,"9,6","10,0","9,0","9,5","9,8",,,,
2,2,4D41BBE3,X,,,,,,,,,
2,2,3FE45559,X,#VALUE!,,,,,"9,0","10,0","10,0",
2,2,37594F45,11:53,"6,5","0,5","7,5","9,0","9,0",,,,
2,2,15A3743B,10:48,"8,0","10,0","8,5","8,5","5,0",,,,
2,2,5CD8B4FE,,,,,,,,,,
2,2,15EA15E5,12:44,#VALUE!,"0,0","7,0",,"0,5",,,,
2,2,55BA642E,12:50,"4,9","0,0","4,0","7,7","8,0",,,,
2,2,7365085E,10:55,#VALUE!,"0,0","0,0",,,,,,
2,2,8CAB3DB,,,,,,,,,,
2,2,52E571B8,10:57,"4,6","0,0","8,5","9,5","0,5",,,,
2,2,5B8F96B8,11:19,"6,6","0,0","9,5","9,5","7,5",,,,
2,2,26EA2FA,10:48,"4,9","0,5","5,0","9,0","5,0",,,,
2,2,4B929F6,12:30,"7,8","5,0","8,5","9,0","8,5",,,,
2,2,1567F200,,,,,,,,,,
2,2,E3A19A,10:48,"1,5","0,0","3,0","2,5","0,5",,,,
2,2,1A25F6BF,11:00,"4,7","0,0","9,0","9,3","0,5",,,,
2,2,10E8A59E,12:15,"6,3","2,0","9,0","9,0","5,0",,,,
2,2,77089DA4,11:40,"2,3","0,0","2,0","6,5","0,5",,,,
2,2,74E3795C,,"2,4","0,0","4,0","5,5","0,0",,,,
2,2,2556AF8C,11:06,"4,6","0,0","9,5","9,0","0,0",,,,
2,2,68FA8B73,12:04,"8,0","4,0","9,0","9,5","9,5",,,,
2,2,6A2A6BE9,,,,,,,,,,
2,2,445E679D,12:16,"5,8","0,0","9,0","9,0","5,0",,,,
2,2,F952D04,11:46,"9,5","9,6","9,5","9,5","9,5",,,,
2,4,792B1580,11:35,"3,3","0,0","4,0","8,5","0,5",,,,
2,4,7C52AF6D,,"9,0",,,,,"8,0","10,0","10,0","8,0"
2,4,6EBCD028,X,,,,,,,,,
2,4,7BCB919D,11:13,"8,2","9,8","9,0","4,5","9,5",,,,
2,4,107076E4,12:52,"3,1","0,0","4,0","8,5","0,0",,,,
2,4,44D029E4,11:55,"3,4","1,0","10,0","2,5","0,0",,,,
2,4,ADBC154,11:31,"3,2","0,0","4,0","8,3","0,5",,,,
2,4,52C319A1,10:59,#VALUE!,"7,0","9,0",,"9,8",,,,
2,4,60BAF986,11:20,"8,1","7,0","9,5","9,5","6,5",,,,
2,4,7DCD514D,11:03,#VALUE!,"1,0","9,0",,"0,0",,,,
2,4,51FE3830,12:52,"4,0","1,0","8,0","5,0","2,0",,,,
2,4,26CE28D,X,,,,,,,,,
2,4,D616D4F,X,,,,,,,,,
2,4,4195063D,,#VALUE!,,,,,"0,0","0,0","0,0",
2,4,2777E5EE,12:35,"4,8","0,0","9,0","8,0","2,0",,,,
2,4,740BC298,11:15,"2,9","0,0","2,0","8,0","1,5",,,,
2,4,4C84103A,11:53,"9,1","9,0","8,5","9,5","9,5",,,,
2,4,5EC0B9E1,X,,,,,,,,,
2,4,21604216,11:32,"8,2","9,0","9,5","9,3","5,0",,,,
3,5,4DA185E9,,,,,,,,,,
3,5,3BC456D5,12:06,"6,0","5,5","7,5","8,5","2,5",,,,
3,5,7BA159DE,10:55,"8,5","10,0","9,5","9,5","5,0",,,,
3,5,48295835,11:00,"9,0","9,0","9,0","9,0","9,0",,,,
3,5,5DEBE97D,11:33,"2,8","2,0","0,0","9,0","0,0",,,,
3,5,69DEEC46,11:56,"0,3","0,0","0,0","0,0","1,0",,,,
3,5,1B52DD48,,#VALUE!,,,,,,"7,0",,"0,0"
3,5,32B00B44,11:21,"1,4","0,0","3,5","0,0","2,0",,,,
3,5,347D5E36,10:48,"9,7","9,7","9,5","10,0","9,5",,,,
3,5,B30252C,12:29,"3,1","0,0","3,5","9,0","0,0",,,,
3,5,224511B3,10:49,"8,3","5,5","9,0","9,0","9,8",,,,
3,5,21C00083,10:58,"9,7","9,8","9,5","9,5","10,0",,,,
3,5,1CCD2085,12:50,#VALUE!,"0,0",,"9,5","6,0",,,,
3,5,1823A1FA,11:03,"2,0","1,0","3,5","3,0","0,5",,,,
3,5,1C897F15,10:58,"6,9","4,0","9,0","9,5","5,0",,,,
3,5,6BA5CF35,11:32,"5,1","2,0","9,0","9,5","0,0",,,,
3,5,68151142,10:58,"8,6","10,0","9,0","9,2","6,0",,,,
3,5,70F93A3B,10:48,"3,6","1,0","8,5","0,0","5,0",,,,
3,5,5D73E08B,10:58,"7,0","5,0","9,0","9,0","5,0",,,,
3,5,1ABFFBDD,11:30,"3,0","0,0","3,0","8,0","1,0",,,,
3,5,79D7BD5B,12:35,"6,8","5,0","7,5","9,5","5,0",,,,
3,5,619B5433,12:50,#VALUE!,"6,0",,"7,5","5,0",,,,
3,5,1706D43,12:44,#VALUE!,"0,0","3,5",,"1,5",,,,
