questao,exercicio,qtd
1,140,33
1,141,25
1,145,24
1,143,23
1,146,25
1,144,30
1,148,32
1,88,26
1,142,28
2,103,27
2,94,20
2,140,31
2,118,18
2,96,11
2,98,26
2,100,36
2,97,29
2,149,19
2,129,22
2,124,12
2,87,20
2,144,22
2,145,22
2,123,18
2,101,35
2,91,11
2,142,22
2,158,25
2,132,27
2,99,23
2,111,31
2,108,25
2,92,13
2,88,20
2,109,16
2,137,12
2,150,24
2,121,12
2,90,11
2,126,28
2,148,26
2,114,18
2,143,23
2,155,27
2,102,19
2,95,6
2,93,8
2,157,14
2,135,21
2,152,20
2,112,9
2,110,20
2,131,13
2,119,21
2,130,11
2,106,13
2,146,16
2,115,13
2,89,10
2,136,19
2,120,8
2,160,2
2,117,10
2,105,9
2,156,20
2,153,15
2,139,13
2,147,12
2,141,18
2,125,3
2,116,13
2,134,20
2,151,17
2,133,26
2,86,8
2,104,22
2,113,9
2,154,14
2,107,18
3,126,12
3,158,17
3,102,17
3,124,8
3,95,5
3,111,22
3,93,5
3,157,11
3,155,18
3,135,11
3,152,11
3,87,15
3,112,7
3,145,16
3,110,13
3,131,10
3,119,13
3,101,19
3,140,16
3,130,11
3,100,23
3,106,12
3,149,16
3,146,10
3,144,16
3,132,18
3,150,16
3,115,9
3,89,10
3,136,12
3,103,16
3,90,11
3,120,5
3,160,2
3,142,14
3,117,9
3,118,11
3,105,7
3,156,14
3,109,13
3,97,19
3,99,13
3,153,8
3,129,11
3,143,12
3,139,12
3,94,13
3,147,9
3,91,11
3,88,13
3,141,11
3,137,7
3,125,6
3,148,17
3,116,11
3,134,11
3,98,16
3,151,12
3,133,17
3,86,9
3,104,16
3,113,5
3,123,13
3,92,9
3,154,11
3,108,16
3,114,11
3,107,11
4,126,30
4,158,25
4,102,22
4,124,14
4,95,13
4,111,34
4,93,12
4,157,20
4,155,29
4,135,27
4,152,24
4,87,22
4,112,16
4,145,23
4,110,21
4,131,22
4,119,22
4,101,32
4,140,32
4,130,11
4,100,35
4,106,13
4,149,26
4,146,23
4,144,26
4,132,29
4,150,29
4,115,17
4,89,12
4,136,25
4,103,31
4,90,14
4,120,11
4,160,1
4,142,28
4,117,13
4,118,25
4,105,13
4,156,24
4,109,22
4,97,28
4,99,25
4,153,23
4,129,23
4,143,27
4,139,16
4,94,24
4,147,21
4,91,12
4,88,21
4,141,23
4,137,13
4,125,9
4,148,31
4,116,14
4,134,25
4,98,27
4,151,23
4,133,27
4,86,14
4,104,28
4,113,15
4,123,19
4,92,13
4,154,23
4,108,29
4,114,23
4,107,23
1,134,23
1,132,26
1,100,38
1,111,41
1,91,15
1,101,34
1,97,35
1,98,30
1,103,25
1,99,22
1,87,25
1,129,24
1,153,20
1,110,20
1,118,20
1,150,28
1,149,27
1,104,24
1,117,10
1,102,24
1,136,24
1,86,12
1,116,11
1,107,18
1,154,23
1,114,20
1,119,21
1,108,28
1,151,23
1,135,21
1,158,28
1,131,18
1,92,9
4,121,19
1,155,22
1,156,25
1,157,23
1,123,17
2,127,13
2,128,3
4,127,16
4,96,15
4,128,5
1,90,16
1,126,23
1,94,21
1,139,18
1,133,22
1,115,13
1,152,24
1,95,10
1,109,14
1,125,5
1,124,9
1,127,14
1,112,16
1,137,11
1,113,7
1,89,11
1,121,11
3,127,7
3,121,9
1,96,10
3,96,7
1,130,10
1,105,9
1,93,11
1,106,11
1,122,1
1,147,10
2,122,1
3,122,1
1,120,14
1,128,5
3,128,3
1,160,1
