"","x","teoria","pratica","listas","provas","nota.final"
"8","77A35CA",2.58,2.5,0.35,3.84,9.1
"28","4AD45AC5",2.52,2.5,0.39,3.88,9.1
"25","1B81A33E",2.43,2.5,0.45,3.48,9
"6","1397BFB0",2.55,2.4,0.46,3.64,8.8
"14","5978A120",2.58,2.075,0.395,3.84,8.7
"22","1DF2A12E",2.25,2.45,0.445,3.44,8.6
"57","F952D04",2.4,2.5,0.405,3.88,8.6
"17","4482494C",2.22,2.375,0.405,3.68,8.4
"19","281286BC",1.89,2.5,0.455,3.36,8.3
"30","71F3C736",1.98,2.275,0.43,3.36,8.3
"13","210B0D56",2.04,2.475,0.425,3.12,8.2
"21","63116A24",2.31,2.5,0.47,2.76,8.2
"45","4B929F6",2.1,2.5,0.445,3.08,8.2
"53","4C84103A",2.13,2.45,0.425,3.44,8.2
"55","68FA8B73",2.31,2.5,0.4,3.28,8.2
"3","267C1E34",1.8,2.5,0.35,3.44,8
"33","4D98EE47",1.77,2.5,0.435,3.56,8
"11","5EA91E42",1.95,2.425,0.37,2.72,7.9
"4","562A867F",1.71,2.4,0.39,3.12,7.7
"34","7C52AF6D",1.68,2.225,0.29,3.68,7.7
"10","22EB47AA",1.86,2.275,0.38,2.96,7.6
"23","25762941",1.71,2.325,0.415,3.12,7.6
"35","7BCB919D",1.86,2.325,0.45,3.48,7.6
"5","258DFC4B",1.71,2.125,0.38,2.8,7.5
"15","3826E0DE",1.89,2.35,0.435,1.84,7.5
"24","19449717",1.95,1.825,0.27,1.48,7.5
"27","6878BF80",2.19,2.45,0.295,2.6,7.5
"1","79CBE190",1.83,2.35,0.295,2.48,7.4
"2","3A1B84F4",2.19,2.5,0.4,2.16,7.4
"9","46484C5E",1.74,2,0.405,1.92,7.4
"38","15A3743B",2.13,2.125,0.3,2.92,7.3
"29","6A197CF",1.44,1.6,0.265,2.2,7.2
"46","51FE3830",1.77,1.5,0.38,2.36,7.2
"37","37594F45",1.86,1.925,0.345,3.16,7.1
"40","55BA642E",1.86,1.5,0.185,2.44,7.1
"56","445E679D",2.01,1.95,0.26,2.72,7.1
"16","67657F86",1.89,2.2,0.365,2.24,7
"20","44AF14C1",1.71,2.275,0.43,2.04,7
"32","390C0CCC",1.95,1.65,0.425,2.64,7
"42","7DCD514D",1.92,2.225,0.43,2.08,7
"44","26EA2FA",1.41,2.1,0.185,2.08,7
"31","14A1B78B",1.59,2.375,0.2,2.64,6.9
"54","21604216",1.2,2.375,0.335,3,6.9
"47","E3A19A",1.71,1.775,0.235,2.04,6.8
"7","13085463",1.59,1.775,0.36,2.16,6.7
"12","673B031F",1.71,2.125,0.24,2.36,6.7
"26","7BF33A4A",1.71,1.175,0.175,1.52,6.5
"43","5B8F96B8",1.14,1.45,0.21,2.96,6.4
"51","2777E5EE",1.92,0.5,0.28,1.72,6.4
"52","2556AF8C",1.59,1.45,0.3,1.64,6
"39","ADBC154",1.35,1.175,0.125,1.96,5.8
"49","10E8A59E",1.86,1.625,0.3,2.24,5.8
"18","2B989949",1.56,1.475,0.38,1.44,5.6
"48","1A25F6BF",1.62,1.425,0.265,1.92,5.6
"50","74E3795C",1.32,1.175,0.115,2.16,5.6
"41","52C319A1",1.8,0.95,0.21,1.2,4.4
"36","3FE45559",1.68,0.725,0.085,1.96,4
